,data
0,75.5730214641044
1,-44.093380356345094
2,-22.421702423799466
3,-34.52667137249445
4,-195.1019770535004
5,54.923794206773316
6,-62.69686428515769
7,-49.173106836990854
8,29.0
9,91.0
10,-22.597132905244536
11,30.1909522385624
12,-17.0
13,-75.0
14,100.0
15,53.0
16,-35.2097743773909
17,10.321180420017175
18,22.0
19,-48.0
20,85.0
21,-77.0
22,71.0
23,-95.0
24,56.011673151750976
25,-15.186770428015564
26,-92.0
27,10.0
28,37.0
29,23.0
30,-51.0
31,-45.0
32,35.0
33,83.0
34,103.7211009174312
35,11.603669724770644
36,-34.0
37,77.0
38,59.0
39,77.0
40,94.0
